root_id,length_nm,area_nm,size_nm
720575940604014112,1107470,2134504704,161820006400
720575940604014508,2072603,4382249728,321195479040
720575940604016608,2469452,3319205248,179234068480
720575940604018208,255082,493695744,23870791680
720575940604019424,2222870,3987770112,291836887040
720575940604021425,1099620,2199054080,161395292160
720575940604023724,461994,1029411456,62957854720
720575940604023980,1727667,3141124992,207680307200
720575940604024934,765086,1386367744,107681423360
720575940604027168,396882,831026048,42106183680
720575940604030176,3843154,6619703040,476536555520
720575940604030566,1058897,1667702528,96935434240
720575940604030636,1350517,1340542592,93316392960
720575940604031678,1361749,2947587840,222628812800
720575940604033708,832925,1539896192,100350801920
720575940604038880,425481,969434112,80628746240
720575940604045484,602174,1316458752,86368552960
720575940604050110,799107,1568222336,101275791360
720575940604054188,174633,531538816,40159651840
720575940604056544,3423707,7173176448,548611952640
720575940604058540,1852662,2759884544,148162508800
720575940604064958,1015609,1423934848,74077460480
720575940604065470,733404,1230443264,87370291200
720575940604067761,1043312,1607893248,98016358400
720575940604070078,1805100,2849468928,164353290240
720575940604074174,1269207,2449913216,189463183360
720575940604074854,4581510,9376996480,703575879680
720575940604076734,1227351,2042976512,123548303360
720575940604076990,651135,1172528256,85514096640
720575940604079532,794952,1351252480,85945579520
720575940604080318,333346,744029312,70895216640
720575940604081836,930086,1975719680,162196807680
720575940604084704,299313,556076288,37589678080
720575940604086496,468604,1059977728,70340628480
720575940604087230,944791,1412130944,84654970880
720575940604088288,28312152,51362495232,3658064588800
720575940604091308,751441,1570930560,79285872640
720575940604093984,719769,1357121152,73967861760
720575940604094240,595074,1598306560,134723962880
720575940604096614,718389,987835392,54470891520
720575940604099006,1042871,2343581952,203955763200
720575940604100785,2187399,3449341568,200980561920
720575940604101310,936993,1519956608,77993953280
720575940604102880,1888086,3530322944,252696504320
720575940604103084,3081609,6770194304,589932400640
720575940604103200,705857,1390922880,93643540480
720575940604104625,1250459,2322642432,147726407680
720575940604105137,358115,633859456,49543751680
720575940604106272,1164290,1909166208,114006190080
720575940604110513,2399810,4495038080,319295948800
720575940604113442,886939,1507057280,109885788160
720575940604114604,1850724,2876005504,148630394880
720575940604119842,473445,1282435072,88398254080
720575940604121004,949229,1726289664,123702333440
720575940604121278,425099,749625216,61545256960
720575940604122982,228055,692138624,43116339200
720575940604125105,801657,1357535360,97205647360
720575940604125286,1292803,2226449280,141313822720
720575940604125886,544274,861281280,53337344000
720575940604125920,981474,1367441152,72734382080
720575940604126129,685862,1425782400,102921635840
720575940604130481,997884,2059882624,161973606400
720575940604131296,745580,1436760576,99313879040
720575940604132710,798870,1524724352,100578703360
720575940604134577,1115003,1733315328,117671424000
720575940604139180,3205913,5453834880,362542090240
720575940604142453,599679,943246464,61349160960
720575940604147633,658480,1027220736,67744870400
720575940604150560,3049486,5807713792,421102161920
720575940604151008,571606,1655464960,150712811520
720575940604151520,492171,1277111552,95838709760
720575940604157361,414805,704118272,44242872320
720575940604160172,879783,1373907200,93639833600
720575940604163761,1359509,2203940352,123241707520
720575940604165856,4230972,7064230784,488313559040
720575940604167712,1433792,2470546048,162692259840
720575940604168224,727128,1929755392,160953446400
720575940604174438,741750,1257458048,77270937600
720575940604174882,582435,1270106496,114136391680
720575940604175394,381725,588415872,39261624320
720575940604179372,422575,677894016,52680294400
720575940604180140,255515,475469184,38178201600
720575940604182374,705258,1880529152,146677964800
720575940604183654,474881,1171367168,100906752000
720575940604187616,439897,802927104,53579694080
720575940604188384,595158,972733312,69808773120
720575940604191200,199752,601461376,32580894720
720575940604191456,564635,1664483712,134797946880
720575940604192992,334782,579053184,35269888000
720575940604195360,523490,831658112,48559493120
720575940604196064,1449037,2503356800,178378321920
720575940604198828,271894,509946880,36773212160
720575940604199596,616962,802788736,43200317440
720575940604200364,516318,742046080,46980884480
720575940604201830,3205823,15547563264,2114649763840
720575940604209580,705109,1438476800,109559859200
720575940604210976,151322,309113216,12420597760
720575940604211628,293742,944636160,60015032320
720575940604211744,152571,307970944,10857062400
720575940604212396,1061727,1977953792,142570659840
720575940604212838,1473998,2166075136,115250462720
720575940604213937,227328,885911168,90132326400
720575940604217534,117092,264070528,9931509760
720575940604218028,497035,754313600,49473126400
720575940604221356,431678,736318592,44789278720
720575940604222944,1582905,2383632512,128577792000
720575940604228454,654068,1336424832,111513559040
720575940604229152,1467175,2036086016,107276881920
720575940604236768,138894,287600000,13056450560
720575940604238513,1807387,4501315968,408498913280
720575940604238816,341876,534775552,31777003520
720575940604240230,853830,1264257920,68352460800
720575940604240416,1149818,1931980160,117256611840
720575940604241510,491205,1125806080,67881482240
720575940604243902,879314,1531492608,99613829120
720575940604246304,2094187,4032296576,283020963840
720575940604247468,603073,797146368,46284185600
720575940604247985,773321,1290796928,96776069120
720575940604248032,595332,898108672,55169064960
720575940604249790,629939,1356570240,98129756160
720575940604249824,149999,340397696,19501905920
720575940604250214,1969663,4961690112,418395924480
720575940604255712,430606,1238366720,104162017280
720575940604256102,1570925,2501078272,150303313920
720575940604257638,188942,393451776,16684462080
720575940604265440,524720,694225408,46531983360
720575940604267622,2454480,5613423488,411392163840
720575940604268134,1142626,1826805376,105810790400
720575940604268972,1140263,1937759360,133561466880
720575940604272672,138699,298177664,13393131520
720575940604273632,133959,304589824,11827712000
